"((coolantTemp) until [1147,1427] (maxTemp)) until [1521,1614] ((oilPressure) <= (safePressure))",,"The coolant temperature condition persists until, between times 1147 and 1427, the maximum temperature condition becomes true. This entire scenario continues to hold until, between times 1521 and 1614, the oil pressure drops to or below the safe pressure level."
"(oilTemp) >= (minTemp) until [1737,1771] (G [407,1295] (coolantTemp < maxCoolantTemp))","{'until': {'bound': (1737, 1771), 'left_node': {'predicate': {'left_node': 'oilTemp', 'right_node': 'minTemp', 'type': '>='}}, 'right_node': {'globally': {'bound': (407, 1295), 'child_node': {'predicate': {'left_node': 'coolantTemp', 'right_node': 'maxCoolantTemp', 'type': '<'}}}}}}","The oil temperature remains above the minimum temperature until globally, between times 407 and 1295, the coolant temperature is less than the maximum coolant temperature."
"not (networkConnection) until [1945,1993] (wifiSignal) until [126,1422] (F [1269,1656] (gpsSignal) and (sensorActive and dataTransmission))","{'until': {'bound': (126, 1422), 'left_node': {'not': {'child_node': {'until': {'bound': (1945, 1993), 'left_node': 'networkConnection', 'right_node': 'wifiSignal'}}}}, 'right_node': {'and': {'left_node': {'eventually': {'bound': (1269, 1656), 'child_node': 'gpsSignal'}}, 'right_node': {'and': {'left_node': 'sensorActive', 'right_node': 'dataTransmission'}}}}}}","There's no network connection until the WiFi signal is detected between times 1945 and 1993, and this condition holds until between times 126 and 1422, where eventually, between times 1269 and 1656, there's a GPS signal and both the sensor is active and data is being transmitted."
"not (not (systemUpdate)) until [1212,1494] (G [1444,1557] (cpuUsage > maxUsage))","{'until': {'bound': (1212, 1494), 'left_node': {'not': {'child_node': {'not': {'child_node': 'systemUpdate'}}}}, 'right_node': {'globally': {'bound': (1444, 1557), 'child_node': {'predicate': {'left_node': 'cpuUsage', 'right_node': 'maxUsage', 'type': '>'}}}}}}","There's a negation of a negation of a system update until globally, between times 1444 and 1557, the CPU usage is greater than the maximum allowed usage."
"not ((networkUp and dataFlow) until [1945,1998] (serverLoad == optimalLoad))","{'not': {'child_node': {'until': {'bound': (1945, 1998), 'left_node': {'and': {'left_node': 'networkUp', 'right_node': 'dataFlow'}}, 'right_node': {'predicate': {'left_node': 'serverLoad', 'right_node': 'optimalLoad', 'type': '=='}}}}}}","It's not the case that both the network is up and data is flowing until between times 1945 and 1998, the server load is equal to the optimal load."
"(G [1788,1811] (airFilterStatus)) and (F [1099,1387] (oilChangeReminder)) and ((brakeWarning or tirePressureLow) until [780,1521] (fuelEfficiency <= 0.71))","{'and': {'left_node': {'and': {'left_node': {'globally': {'bound': (1788, 1811), 'child_node': 'airFilterStatus'}}, 'right_node': {'eventually': {'bound': (1099, 1387), 'child_node': 'oilChangeReminder'}}}}, 'right_node': {'until': {'bound': (780, 1521), 'left_node': {'or': {'left_node': 'brakeWarning', 'right_node': 'tirePressureLow'}}, 'right_node': {'predicate': {'left_node': 'fuelEfficiency', 'right_node': 0.71, 'type': '<='}}}}}}","Globally, between times 1788 and 1811, the air filter status is good, and eventually, between times 1099 and 1387, there's an oil change reminder. This holds while either the brake warning is on or the tire pressure is low, until between times 780 and 1521, the fuel efficiency drops to or below 0.71."
"(G [928,1072] (not (systemReboot))) or (F [1224,1631] (batteryLife <= 0.13))","{'or': {'left_node': {'globally': {'bound': (928, 1072), 'child_node': {'not': {'child_node': 'systemReboot'}}}}, 'right_node': {'eventually': {'bound': (1224, 1631), 'child_node': {'predicate': {'left_node': 'batteryLife', 'right_node': 0.13, 'type': '<='}}}}}}","Globally, between times 928 and 1072, the system does not reboot, or eventually, between times 1224 and 1631, the battery life drops to or below 0.13."
"(F [1581,1841] (tireTread < replacementTread)) or (airbagStatus == 0.13)","{'or': {'left_node': {'eventually': {'bound': (1581, 1841), 'child_node': {'predicate': {'left_node': 'tireTread', 'right_node': 'replacementTread', 'type': '<'}}}}, 'right_node': {'predicate': {'left_node': 'airbagStatus', 'right_node': 0.13, 'type': '=='}}}}","Eventually, between times 1581 and 1841, the tire tread will be less than the replacement tread level, or the airbag status is at 0.13."
"(G [1467,1884] (G [1748,1879] (F [968,1896] (sensorCalibration)))) and (G [705,1347] ((ambientTemp == 0.66) until [1044,1213] (engineTemp >= 2.43)))","{'and': {'left_node': {'globally': {'bound': (1467, 1884), 'child_node': {'globally': {'bound': (1748, 1879), 'child_node': {'eventually': {'bound': (968, 1896), 'child_node': 'sensorCalibration'}}}}}}, 'right_node': {'globally': {'bound': (705, 1347), 'child_node': {'until': {'bound': (1044, 1213), 'left_node': {'predicate': {'left_node': 'ambientTemp', 'right_node': 0.66, 'type': '=='}}, 'right_node': {'predicate': {'left_node': 'engineTemp', 'right_node': 2.43, 'type': '>='}}}}}}}}","Globally, between times 1467 and 1884, and further between times 1748 and 1879, there will eventually be a sensor calibration between times 968 and 1896. This holds while globally, between times 705 and 1347, the ambient temperature is 0.66 until, between times 1044 and 1213, the engine temperature rises to or above 2.43."
"not (F [1530,1532] (not (networkStability) until [1119,1170] (dataIntegrity)))","{'not': {'child_node': {'eventually': {'bound': (1530, 1532), 'child_node': {'not': {'child_node': {'until': {'bound': (1119, 1170), 'left_node': 'networkStability', 'right_node': 'dataIntegrity'}}}}}}}}","It's not the case that eventually, between times 1530 and 1532, the network will not be stable until between times 1119 and 1170, where data integrity is ensured."
